Input Seq 1,2022 NAICS Code,2022 NAICS Title,Related SIC Code,Related SIC Code Description,Change to 2017 Code,2017 NAICS Code,2017 NAICS Code
566,316210,Footwear Manufacturing ,3143,"Men's Footwear, Except athletic",No Change,316210,Footwear Manufacturing 
567,316210,Footwear Manufacturing ,3144,"Women's Footwear, Except athletic",No Change,316210,Footwear Manufacturing 
568,316210,Footwear Manufacturing ,3149,"Footwear, Except Rubber, Nec",No Change,316210,Footwear Manufacturing 
569,316990,Other Leather and Allied Product Manufacturing ,3131,Footwear Cut Stock,New NAICS Code,316998,All Other Leather Good and Allied Product Manufacturing 
570,316990,Other Leather and Allied Product Manufacturing ,3161,Luggage,New NAICS Code,316998,All Other Leather Good and Allied Product Manufacturing 
571,316990,Other Leather and Allied Product Manufacturing ,3172,"Personal Leather Goods, Nec",New NAICS Code,316998,All Other Leather Good and Allied Product Manufacturing 
572,316990,Other Leather and Allied Product Manufacturing ,3199,"Leather Goods, Nec",New NAICS Code,316998,All Other Leather Good and Allied Product Manufacturing 
573,316990,Other Leather and Allied Product Manufacturing ,3171,Women's Handbags and Purses,New NAICS Code,316992,Women's Handbag and Purse Manufacturing 
574,321113,Sawmills ,2421,"Sawmills and Planing Mills, General",No Change,321113,Sawmills 
575,321113,Sawmills ,2426,Hardwood Dimension and Flooring Mills,No Change,321113,Sawmills 
576,321113,Sawmills ,2429,"Special Product Sawmills, Nec",No Change,321113,Sawmills 
577,321114,Wood Preservation ,2491,Wood Preserving,No Change,321114,Wood Preservation 
578,321211,Hardwood Veneer and Plywood Manufacturing ,2435,Hardwood Veneer and Plywood,No Change,321211,Hardwood Veneer and Plywood Manufacturing 
579,321212,Softwood Veneer and Plywood Manufacturing ,2436,Softwood Veneer and Plywood,No Change,321212,Softwood Veneer and Plywood Manufacturing 
580,321215,Engineered Wood Member Manufacturing ,2439,"Structural Wood Members, Nec",New NAICS Code,321213,Engineered Wood Member (except Truss) Manufacturing 
581,321215,Engineered Wood Member Manufacturing ,2439,"Structural Wood Members, Nec",New NAICS Code,321214,Truss Manufacturing 
582,321219,Reconstituted Wood Product Manufacturing ,2493,Reconstituted Wood Products,No Change,321219,Reconstituted Wood Product Manufacturing 
583,321911,Wood Window and Door Manufacturing ,2431,Millwork,No Change,321911,Wood Window and Door Manufacturing 
584,321912,"Cut Stock, Resawing Lumber, and Planing ",2421,"Sawmills and Planing Mills, General",No Change,321912,"Cut Stock, Resawing Lumber, and Planing "
585,321912,"Cut Stock, Resawing Lumber, and Planing ",2426,Hardwood Dimension and Flooring Mills,No Change,321912,"Cut Stock, Resawing Lumber, and Planing "
586,321918,Other Millwork (including Flooring) ,2421,"Sawmills and Planing Mills, General",No Change,321918,Other Millwork (including Flooring) 
587,321918,Other Millwork (including Flooring) ,2426,Hardwood Dimension and Flooring Mills,No Change,321918,Other Millwork (including Flooring) 
588,321918,Other Millwork (including Flooring) ,2431,Millwork,No Change,321918,Other Millwork (including Flooring) 
589,321920,Wood Container and Pallet Manufacturing,2421,"Sawmills and Planing Mills, General",No Change,321920,Wood Container and Pallet Manufacturing
590,321920,Wood Container and Pallet Manufacturing,2429,"Special Product Sawmills, Nec",No Change,321920,Wood Container and Pallet Manufacturing
591,321920,Wood Container and Pallet Manufacturing,2441,Nailed Wood Boxes and Shook,No Change,321920,Wood Container and Pallet Manufacturing
592,321920,Wood Container and Pallet Manufacturing,2448,Wood Pallets and Skids,No Change,321920,Wood Container and Pallet Manufacturing
593,321920,Wood Container and Pallet Manufacturing,2449,"Wood Containers, Nec",No Change,321920,Wood Container and Pallet Manufacturing
594,321920,Wood Container and Pallet Manufacturing,2499,"Wood Products, Nec",No Change,321920,Wood Container and Pallet Manufacturing
595,321991,Manufactured Home (Mobile Home) Manufacturing ,2451,Mobile Homes,No Change,321991,Manufactured Home (Mobile Home) Manufacturing 
596,321992,Prefabricated Wood Building Manufacturing ,2452,Prefabricated Wood Buildings,No Change,321992,Prefabricated Wood Building Manufacturing 
597,321999,All Other Miscellaneous Wood Product Manufacturing ,2421,"Sawmills and Planing Mills, General",No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
598,321999,All Other Miscellaneous Wood Product Manufacturing ,2429,"Special Product Sawmills, Nec",No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
599,321999,All Other Miscellaneous Wood Product Manufacturing ,2499,"Wood Products, Nec",No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
600,321999,All Other Miscellaneous Wood Product Manufacturing ,2517,Wood Television and Radio Cabinets,No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
601,321999,All Other Miscellaneous Wood Product Manufacturing ,3131,Footwear Cut Stock,No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
602,321999,All Other Miscellaneous Wood Product Manufacturing ,3999,"Manufacturing Industries, Nec",No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
603,322110,Pulp Mills ,2611,Pulp Mills,No Change,322110,Pulp Mills 
604,322120,Paper Mills ,2611,Pulp Mills,New NAICS Code,322121,Paper (except Newsprint) Mills 
605,322120,Paper Mills ,2621,Paper Mills,New NAICS Code,322121,Paper (except Newsprint) Mills 
606,322120,Paper Mills ,2611,Pulp Mills,New NAICS Code,322122,Newsprint Mills 
607,322120,Paper Mills ,2621,Paper Mills,New NAICS Code,322122,Newsprint Mills 
608,322130,Paperboard Mills ,2611,Pulp Mills,No Change,322130,Paperboard Mills 
609,322130,Paperboard Mills ,2631,Paperboard Mills,No Change,322130,Paperboard Mills 
610,322211,Corrugated and Solid Fiber Box Manufacturing ,2653,Corrugated and Solid Fiber Boxes,No Change,322211,Corrugated and Solid Fiber Box Manufacturing 
611,322211,Corrugated and Solid Fiber Box Manufacturing ,2679,"Converted Paper Products, Nec",No Change,322211,Corrugated and Solid Fiber Box Manufacturing 
612,322212,Folding Paperboard Box Manufacturing ,2657,Folding Paperboard Boxes,No Change,322212,Folding Paperboard Box Manufacturing 
613,322219,Other Paperboard Container Manufacturing ,2652,Setup Paperboard Boxes,No Change,322219,Other Paperboard Container Manufacturing 
614,322219,Other Paperboard Container Manufacturing ,2655,"Fiber Cans, Drums, and Similar Products",No Change,322219,Other Paperboard Container Manufacturing 
615,322219,Other Paperboard Container Manufacturing ,2656,Sanitary Food Containers,No Change,322219,Other Paperboard Container Manufacturing 
616,322220,Paper Bag and Coated and Treated Paper Manufacturing,2671,Paper; Coated and Laminated Packaging,No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
617,322220,Paper Bag and Coated and Treated Paper Manufacturing,2672,"Paper; Coated and Laminated, Nec",No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
618,322220,Paper Bag and Coated and Treated Paper Manufacturing,2673,"Bags: Plastic, Laminated, and Coated",No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
619,322220,Paper Bag and Coated and Treated Paper Manufacturing,2674,Bags: Uncoated Paper and Multiwall,No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
620,322220,Paper Bag and Coated and Treated Paper Manufacturing,2675,Die-cut Paper and Board,No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
621,322220,Paper Bag and Coated and Treated Paper Manufacturing,2679,"Converted Paper Products, Nec",No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
622,322220,Paper Bag and Coated and Treated Paper Manufacturing,3497,Metal Foil and Leaf,No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
623,322230,Stationery Product Manufacturing,2675,Die-cut Paper and Board,No Change,322230,Stationery Product Manufacturing
624,322230,Stationery Product Manufacturing,2677,Envelopes,No Change,322230,Stationery Product Manufacturing
625,322230,Stationery Product Manufacturing,2678,Stationery Products,No Change,322230,Stationery Product Manufacturing
626,322230,Stationery Product Manufacturing,2679,"Converted Paper Products, Nec",No Change,322230,Stationery Product Manufacturing
627,322291,Sanitary Paper Product Manufacturing ,2676,Sanitary Paper Products,No Change,322291,Sanitary Paper Product Manufacturing 
628,322291,Sanitary Paper Product Manufacturing ,3842,Surgical Appliances and Supplies,No Change,322291,Sanitary Paper Product Manufacturing 
629,322299,All Other Converted Paper Product Manufacturing ,2675,Die-cut Paper and Board,No Change,322299,All Other Converted Paper Product Manufacturing 
630,322299,All Other Converted Paper Product Manufacturing ,2679,"Converted Paper Products, Nec",No Change,322299,All Other Converted Paper Product Manufacturing 
631,323111,Commercial Printing (except Screen and Books) ,2752,"Commercial Printing, Lithographic",No Change,323111,Commercial Printing (except Screen and Books) 
632,323111,Commercial Printing (except Screen and Books) ,2752,"Commercial Printing, Lithographic",No Change,323111,Commercial Printing (except Screen and Books) 
633,323111,Commercial Printing (except Screen and Books) ,2754,"Commercial Printing, Gravure",No Change,323111,Commercial Printing (except Screen and Books) 
634,323111,Commercial Printing (except Screen and Books) ,2759,"Commercial Printing, Nec",No Change,323111,Commercial Printing (except Screen and Books) 
635,323111,Commercial Printing (except Screen and Books) ,2759,"Commercial Printing, Nec",No Change,323111,Commercial Printing (except Screen and Books) 
636,323111,Commercial Printing (except Screen and Books) ,2759,"Commercial Printing, Nec",No Change,323111,Commercial Printing (except Screen and Books) 
637,323111,Commercial Printing (except Screen and Books) ,2759,"Commercial Printing, Nec",No Change,323111,Commercial Printing (except Screen and Books) 
638,323111,Commercial Printing (except Screen and Books) ,2761,Manifold Business Forms,No Change,323111,Commercial Printing (except Screen and Books) 
639,323111,Commercial Printing (except Screen and Books) ,2771,Greeting Cards,No Change,323111,Commercial Printing (except Screen and Books) 
640,323111,Commercial Printing (except Screen and Books) ,2771,Greeting Cards,No Change,323111,Commercial Printing (except Screen and Books) 
641,323111,Commercial Printing (except Screen and Books) ,2771,Greeting Cards,No Change,323111,Commercial Printing (except Screen and Books) 
642,323111,Commercial Printing (except Screen and Books) ,2771,Greeting Cards,No Change,323111,Commercial Printing (except Screen and Books) 
643,323111,Commercial Printing (except Screen and Books) ,2782,Blankbooks and Looseleaf Binders,No Change,323111,Commercial Printing (except Screen and Books) 
644,323111,Commercial Printing (except Screen and Books) ,2782,Blankbooks and Looseleaf Binders,No Change,323111,Commercial Printing (except Screen and Books) 
645,323111,Commercial Printing (except Screen and Books) ,7334,Photocopying and Duplicating Services,No Change,323111,Commercial Printing (except Screen and Books) 
646,323113,Commercial Screen Printing ,2396,Automotive and Apparel Trimmings,No Change,323113,Commercial Screen Printing 
647,323113,Commercial Screen Printing ,2759,"Commercial Printing, Nec",No Change,323113,Commercial Screen Printing 
648,323113,Commercial Screen Printing ,2771,Greeting Cards,No Change,323113,Commercial Screen Printing 
649,323113,Commercial Screen Printing ,3993,Signs and Advertising Specialties,No Change,323113,Commercial Screen Printing 
650,323117,Books Printing ,2732,Book Printing,No Change,323117,Books Printing 
651,323120,Support Activities for Printing,2789,Bookbinding and Related Work,No Change,323120,Support Activities for Printing
652,323120,Support Activities for Printing,2791,Typesetting,No Change,323120,Support Activities for Printing
653,323120,Support Activities for Printing,2796,Platemaking Services,No Change,323120,Support Activities for Printing
654,324110,Petroleum Refineries,2911,Petroleum Refining,No Change,324110,Petroleum Refineries
655,324121,Asphalt Paving Mixture and Block Manufacturing ,2951,Asphalt Paving Mixtures and Blocks,No Change,324121,Asphalt Paving Mixture and Block Manufacturing 
656,324122,Asphalt Shingle and Coating Materials Manufacturing ,2952,Asphalt Felts and Coatings,No Change,324122,Asphalt Shingle and Coating Materials Manufacturing 
657,324191,Petroleum Lubricating Oil and Grease Manufacturing ,2992,Lubricating Oils and Greases,No Change,324191,Petroleum Lubricating Oil and Grease Manufacturing 
658,324199,All Other Petroleum and Coal Products Manufacturing ,2999,"Petroleum and Coal Products, Nec",No Change,324199,All Other Petroleum and Coal Products Manufacturing 
659,324199,All Other Petroleum and Coal Products Manufacturing ,3312,Blast Furnaces and Steel Mills,No Change,324199,All Other Petroleum and Coal Products Manufacturing 
660,325110,Petrochemical Manufacturing,2865,Cyclic Crudes and Intermediates,No Change,325110,Petrochemical Manufacturing
661,325110,Petrochemical Manufacturing,2869,"Industrial Organic Chemicals, Nec",No Change,325110,Petrochemical Manufacturing
662,325120,Industrial Gas Manufacturing,2813,Industrial Gases,No Change,325120,Industrial Gas Manufacturing
663,325120,Industrial Gas Manufacturing,2869,"Industrial Organic Chemicals, Nec",No Change,325120,Industrial Gas Manufacturing
664,325130,Synthetic Dye and Pigment Manufacturing,2816,Inorganic Pigments,No Change,325130,Synthetic Dye and Pigment Manufacturing
665,325130,Synthetic Dye and Pigment Manufacturing,2819,"Industrial Inorganic Chemicals, Nec",No Change,325130,Synthetic Dye and Pigment Manufacturing
666,325130,Synthetic Dye and Pigment Manufacturing,2865,Cyclic Crudes and Intermediates,No Change,325130,Synthetic Dye and Pigment Manufacturing
667,325180,Other Basic Inorganic Chemical Manufacturing ,2812,Alkalies and Chlorine,No Change,325180,Other Basic Inorganic Chemical Manufacturing 
668,325180,Other Basic Inorganic Chemical Manufacturing ,2816,Inorganic Pigments,No Change,325180,Other Basic Inorganic Chemical Manufacturing 
669,325180,Other Basic Inorganic Chemical Manufacturing ,2819,"Industrial Inorganic Chemicals, Nec",No Change,325180,Other Basic Inorganic Chemical Manufacturing 
670,325180,Other Basic Inorganic Chemical Manufacturing ,2869,"Industrial Organic Chemicals, Nec",No Change,325180,Other Basic Inorganic Chemical Manufacturing 
671,325180,Other Basic Inorganic Chemical Manufacturing ,2895,Carbon Black,No Change,325180,Other Basic Inorganic Chemical Manufacturing 
672,325193,Ethyl Alcohol Manufacturing ,2869,"Industrial Organic Chemicals, Nec",No Change,325193,Ethyl Alcohol Manufacturing 
673,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",2861,Gum and Wood Chemicals,No Change,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing "
674,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",2865,Cyclic Crudes and Intermediates,No Change,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing "
675,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",2869,"Industrial Organic Chemicals, Nec",No Change,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing "
676,325199,All Other Basic Organic Chemical Manufacturing ,2869,"Industrial Organic Chemicals, Nec",No Change,325199,All Other Basic Organic Chemical Manufacturing 
677,325199,All Other Basic Organic Chemical Manufacturing ,2899,"Chemical Preparations, Nec",No Change,325199,All Other Basic Organic Chemical Manufacturing 
678,325211,Plastics Material and Resin Manufacturing ,2821,Plastics Materials and Resins,No Change,325211,Plastics Material and Resin Manufacturing 
679,325212,Synthetic Rubber Manufacturing ,2822,Synthetic Rubber,No Change,325212,Synthetic Rubber Manufacturing 
680,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2823,Cellulosic Manmade Fibers,No Change,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
681,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2824,"Organic Fibers, Noncellulosic",No Change,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
682,325311,Nitrogenous Fertilizer Manufacturing ,2873,Nitrogenous Fertilizers,No Change,325311,Nitrogenous Fertilizer Manufacturing 
683,325312,Phosphatic Fertilizer Manufacturing ,2874,Phosphatic Fertilizers,No Change,325312,Phosphatic Fertilizer Manufacturing 
684,325314,Fertilizer (Mixing Only) Manufacturing ,2875,"Fertilizers, Mixing Only",No Change,325314,Fertilizer (Mixing Only) Manufacturing 
685,325315,Compost Manufacturing,2875,"Fertilizers, Mixing Only",New NAICS Code,Added,Added
686,325320,Pesticide and Other Agricultural Chemical Manufacturing,2879,"Agricultural Chemicals, Nec",No Change,325320,Pesticide and Other Agricultural Chemical Manufacturing
687,325411,Medicinal and Botanical Manufacturing ,2833,Medicinals and Botanicals,No Change,325411,Medicinal and Botanical Manufacturing 
688,325412,Pharmaceutical Preparation Manufacturing ,2834,Pharmaceutical Preparations,No Change,325412,Pharmaceutical Preparation Manufacturing 
689,325412,Pharmaceutical Preparation Manufacturing ,2835,Diagnostic Substances,No Change,325412,Pharmaceutical Preparation Manufacturing 
690,325413,In-Vitro Diagnostic Substance Manufacturing ,2835,Diagnostic Substances,No Change,325413,In-Vitro Diagnostic Substance Manufacturing 
691,325414,Biological Product (except Diagnostic) Manufacturing ,2836,"Biological Products, Except Diagnostic",No Change,325414,Biological Product (except Diagnostic) Manufacturing 
692,325510,Paint and Coating Manufacturing,2851,Paints and Allied Products,No Change,325510,Paint and Coating Manufacturing
693,325510,Paint and Coating Manufacturing,2899,"Chemical Preparations, Nec",No Change,325510,Paint and Coating Manufacturing
694,325520,Adhesive Manufacturing,2891,Adhesives and Sealants,No Change,325520,Adhesive Manufacturing
695,325611,Soap and Other Detergent Manufacturing ,2841,Soap and Other Detergents,No Change,325611,Soap and Other Detergent Manufacturing 
696,325611,Soap and Other Detergent Manufacturing ,2844,Toilet Preparations,No Change,325611,Soap and Other Detergent Manufacturing 
697,325612,Polish and Other Sanitation Good Manufacturing ,2842,Polishes and Sanitation Goods,No Change,325612,Polish and Other Sanitation Good Manufacturing 
698,325613,Surface Active Agent Manufacturing ,2843,Surface Active Agents,No Change,325613,Surface Active Agent Manufacturing 
699,325620,Toilet Preparation Manufacturing,2844,Toilet Preparations,No Change,325620,Toilet Preparation Manufacturing
700,325910,Printing Ink Manufacturing,2893,Printing Ink,No Change,325910,Printing Ink Manufacturing
701,325920,Explosives Manufacturing,2892,Explosives,No Change,325920,Explosives Manufacturing
702,325991,Custom Compounding of Purchased Resins ,3087,Custom Compound Purchased Resins,No Change,325991,Custom Compounding of Purchased Resins 
703,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ",3861,Photographic Equipment and Supplies,"Same Code, new title",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing "
704,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,2819,"Industrial Inorganic Chemicals, Nec",No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
705,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,2869,"Industrial Organic Chemicals, Nec",No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
706,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,2899,"Chemical Preparations, Nec",No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
707,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,3952,Lead Pencils and Art Goods,No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
708,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,3999,"Manufacturing Industries, Nec",No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
709,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,7389,"Business Services, Nec",No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
710,326111,Plastics Bag and Pouch Manufacturing ,2673,"Bags: Plastic, Laminated, and Coated",No Change,326111,Plastics Bag and Pouch Manufacturing 
711,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,2671,Paper; Coated and Laminated Packaging,No Change,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
712,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,3081,Unsupported Plastics Film and Sheet,No Change,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
713,326121,Unlaminated Plastics Profile Shape Manufacturing ,3082,Unsupported Plastics Profile Shapes,No Change,326121,Unlaminated Plastics Profile Shape Manufacturing 
714,326121,Unlaminated Plastics Profile Shape Manufacturing ,3089,"Plastics Products, Nec",No Change,326121,Unlaminated Plastics Profile Shape Manufacturing 
715,326122,Plastics Pipe and Pipe Fitting Manufacturing ,3084,Plastics Pipe,No Change,326122,Plastics Pipe and Pipe Fitting Manufacturing 
716,326122,Plastics Pipe and Pipe Fitting Manufacturing ,3089,"Plastics Products, Nec",No Change,326122,Plastics Pipe and Pipe Fitting Manufacturing 
717,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",3083,Laminated Plastics Plate and Sheet,No Change,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
718,326140,Polystyrene Foam Product Manufacturing,3086,Plastics Foam Products,No Change,326140,Polystyrene Foam Product Manufacturing
719,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,3086,Plastics Foam Products,No Change,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
720,326160,Plastics Bottle Manufacturing,3085,Plastics Bottles,No Change,326160,Plastics Bottle Manufacturing
721,326191,Plastics Plumbing Fixture Manufacturing ,3088,Plastics Plumbing Fixtures,No Change,326191,Plastics Plumbing Fixture Manufacturing 
722,326199,All Other Plastics Product Manufacturing ,3069,"Fabricated Rubber Products, Nec",No Change,326199,All Other Plastics Product Manufacturing 
723,326199,All Other Plastics Product Manufacturing ,3089,"Plastics Products, Nec",No Change,326199,All Other Plastics Product Manufacturing 
724,326199,All Other Plastics Product Manufacturing ,3996,"Hard Surface Floor Coverings, Nec",No Change,326199,All Other Plastics Product Manufacturing 
725,326199,All Other Plastics Product Manufacturing ,3999,"Manufacturing Industries, Nec",No Change,326199,All Other Plastics Product Manufacturing 
726,326211,Tire Manufacturing (except Retreading) ,3011,Tires and Inner Tubes,No Change,326211,Tire Manufacturing (except Retreading) 
727,326212,Tire Retreading ,7534,Tire Retreading and Repair Shops,No Change,326212,Tire Retreading 
728,326220,Rubber and Plastics Hoses and Belting Manufacturing,3052,Rubber and Plastics Hose and Beltings,No Change,326220,Rubber and Plastics Hoses and Belting Manufacturing
729,326291,Rubber Product Manufacturing for Mechanical Use ,3061,Mechanical Rubber Goods,No Change,326291,Rubber Product Manufacturing for Mechanical Use 
730,326299,All Other Rubber Product Manufacturing ,3061,Mechanical Rubber Goods,No Change,326299,All Other Rubber Product Manufacturing 
731,326299,All Other Rubber Product Manufacturing ,3069,"Fabricated Rubber Products, Nec",No Change,326299,All Other Rubber Product Manufacturing 
732,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",3261,Vitreous Plumbing Fixtures,No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
733,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",3262,Vitreous China Table and Kitchenware,No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
734,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",3263,Semivitreous Table and Kitchenware,No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
735,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",3264,Porcelain Electrical Supplies,No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
736,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",3269,"Pottery Products, Nec",No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
737,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",3299,"Nonmetallic Mineral Products,",No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
738,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",5719,Miscellaneous Homefurnishings,No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
739,327120,Clay Building Material and Refractories Manufacturing ,3251,Brick and Structural Clay Tile,No Change,327120,Clay Building Material and Refractories Manufacturing 
740,327120,Clay Building Material and Refractories Manufacturing ,3253,Ceramic Wall and Floor Tile,No Change,327120,Clay Building Material and Refractories Manufacturing 
741,327120,Clay Building Material and Refractories Manufacturing ,3255,Clay Refractories,No Change,327120,Clay Building Material and Refractories Manufacturing 
742,327120,Clay Building Material and Refractories Manufacturing ,3259,"Structural Clay Products, Nec",No Change,327120,Clay Building Material and Refractories Manufacturing 
743,327120,Clay Building Material and Refractories Manufacturing ,3297,Nonclay Refractories,No Change,327120,Clay Building Material and Refractories Manufacturing 
744,327211,Flat Glass Manufacturing ,3211,Flat Glass,No Change,327211,Flat Glass Manufacturing 
745,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,3229,"Pressed and Blown Glass, Nec",No Change,327212,Other Pressed and Blown Glass and Glassware Manufacturing 
746,327213,Glass Container Manufacturing ,3221,Glass Containers,No Change,327213,Glass Container Manufacturing 
747,327215,Glass Product Manufacturing Made of Purchased Glass ,3231,Products of Purchased Glass,No Change,327215,Glass Product Manufacturing Made of Purchased Glass 
748,327310,Cement Manufacturing,3241,"Cement, Hydraulic",No Change,327310,Cement Manufacturing
749,327320,Ready-Mix Concrete Manufacturing,3273,Ready-mixed Concrete,No Change,327320,Ready-Mix Concrete Manufacturing
750,327331,Concrete Block and Brick Manufacturing ,3251,Brick and Structural Clay Tile,No Change,327331,Concrete Block and Brick Manufacturing 
751,327331,Concrete Block and Brick Manufacturing ,3271,Concrete Block and Brick,No Change,327331,Concrete Block and Brick Manufacturing 
752,327332,Concrete Pipe Manufacturing ,3272,"Concrete Products, Nec",No Change,327332,Concrete Pipe Manufacturing 
753,327390,Other Concrete Product Manufacturing ,3272,"Concrete Products, Nec",No Change,327390,Other Concrete Product Manufacturing 
754,327410,Lime Manufacturing,3274,Lime,No Change,327410,Lime Manufacturing
755,327420,Gypsum Product Manufacturing,3275,Gypsum Products,No Change,327420,Gypsum Product Manufacturing
756,327420,Gypsum Product Manufacturing,3299,"Nonmetallic Mineral Products,",No Change,327420,Gypsum Product Manufacturing
757,327910,Abrasive Product Manufacturing,3291,Abrasive Products,No Change,327910,Abrasive Product Manufacturing
758,327991,Cut Stone and Stone Product Manufacturing ,3281,Cut Stone and Stone Products,No Change,327991,Cut Stone and Stone Product Manufacturing 
759,327992,Ground or Treated Mineral and Earth Manufacturing ,3295,"Minerals, Ground or Treated",No Change,327992,Ground or Treated Mineral and Earth Manufacturing 
760,327993,Mineral Wool Manufacturing ,3296,Mineral Wool,No Change,327993,Mineral Wool Manufacturing 
761,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,3272,"Concrete Products, Nec",No Change,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
762,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,3292,Asbestos Products,No Change,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
763,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,3299,"Nonmetallic Mineral Products,",No Change,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
764,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,3312,Blast Furnaces and Steel Mills,No Change,331110,Iron and Steel Mills and Ferroalloy Manufacturing 
765,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,3313,Electrometallurgical Products,No Change,331110,Iron and Steel Mills and Ferroalloy Manufacturing 
766,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,3399,Primary Metal Products,No Change,331110,Iron and Steel Mills and Ferroalloy Manufacturing 
767,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,3317,Steel Pipe and Tubes,No Change,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
768,331221,Rolled Steel Shape Manufacturing ,3312,Blast Furnaces and Steel Mills,No Change,331221,Rolled Steel Shape Manufacturing 
769,331221,Rolled Steel Shape Manufacturing ,3316,Cold Finishing of Steel Shapes,No Change,331221,Rolled Steel Shape Manufacturing 
770,331221,Rolled Steel Shape Manufacturing ,3399,Primary Metal Products,No Change,331221,Rolled Steel Shape Manufacturing 
771,331222,Steel Wire Drawing ,3315,Steel Wire and Related Products,No Change,331222,Steel Wire Drawing 
772,331313,Alumina Refining and Primary Aluminum Production ,2819,"Industrial Inorganic Chemicals, Nec",No Change,331313,Alumina Refining and Primary Aluminum Production 
